cob,xij1971,xij1981,xij1991,xij2001,xij2011,label,w1971q,w1981q,w1991q,w2001q,w2011q
Pakistan,0.11828401248683174,0.12364600023217465,0.16354145663911104,0.17946042194182502,0.440022811540096,02BCFM,0.09832452910044517,0.10341989748865715,0.1620479273547356,0.15791410961108315,0.2785587935094955
Pakistan,0.04441025363544098,0.060111014335646695,0.10753410847503192,0.07462721486669588,0.2059055505683121,02BCFN,0.128899416714309,0.10062916556670921,0.13105719470394514,0.14005146249838232,0.26055064424225666
Pakistan,0.007771504082848177,0.019508693422715433,0.07168940565002128,0.07655330406086573,0.1255286947590713,02BCFP,0.042763735947039874,0.02853281967927018,0.05264690727423437,0.062062455812617524,0.11903536932335201
Pakistan,0.022911043420354847,0.03597903171721761,0.0448058785312633,0.025242303108996517,0.061335868216274354,02BCFQ,0.02371339196164809,0.022293160655423923,0.035396644039698014,0.060711936761926516,0.11169669951369467
Pakistan,0.13349500319897878,0.029750088566219975,0.05600734816407913,0.04731601980155733,0.13660481790034906,02BCFR,0.13505560408564518,0.06494931064808614,0.07392969957658445,0.0660433275238076,0.10171521085519397
Pakistan,0.024530038252254294,0.011679588397407695,0.051526760310952796,0.039404770405164775,0.053486528128996826,02BCFS,0.020933123293432963,0.03180685667027379,0.022850998050944284,0.030854820006606255,0.04624703966711489
Pakistan,0.0046091733022677085,0.012408097118070848,0.00448058785312633,0.0135477360586292,0.020881271095554866,02BCFT,0.024293156294937866,0.034175786917217926,0.02632345363711719,0.03214289476526992,0.040621086335819845
Pakistan,0.03528127177767145,0.06761054150364985,0.10977440240159508,0.09080046629817694,0.0983107009970326,02BCFU,0.019598708236254498,0.031157128025379077,0.04704617245782647,0.044158793903106466,0.05225900768122545
Pakistan,0.018418188353348117,0.04276217093134426,0.04032529067813697,0.05666925663998697,0.0755587688626527,02BCFW,0.029791897827126303,0.048301738348247664,0.07258552322064654,0.06089201289702265,0.07205840000308975
Pakistan,0.013167417646859253,0.014402957343605128,0.02240293926563165,0.02293197408951097,0.018014393370085344,02BCFX,0.025702408527587883,0.04163087089685992,0.04570199610188857,0.051343108767522544,0.056645960033484474
Pakistan,0.028014197100027966,0.043346573384207485,0.03136411497188431,0.038887640196260606,0.0464360038737571,02BCFY,0.018594999542071278,0.022195149789162077,0.026883527118757976,0.031338786439342084,0.03594639166443296
Pakistan,0.10888371667846983,0.3084276240074488,0.2598740954813271,0.2918375714013726,0.5351959987776476,02BCFZ,0.3109969210353285,0.2962368664451671,0.3450052646907274,0.2825106710993055,0.37839228235387884
Pakistan,0.006588834053279123,0.005919363758317291,0.00896117570625266,0.03551281793612725,0.05562854664014222,02BCGA,0.12970116382539634,0.057929866031247536,0.06765687658220759,0.05510948527955886,0.09386467609248039
Pakistan,0.45979823017254556,0.19273192805267692,0.11425499025472141,0.08703102902120997,0.0923674714577104,02BCGB,0.10960101028436559,0.037907716746099766,0.05899440673283001,0.053435169105889684,0.12231302058372695
Pakistan,0.07466962469798621,0.05087404447029947,0.049286466384389625,0.03920291426751878,0.07307986725787753,02BCGC,0.11360903032310132,0.07922380152869572,0.09483910955784064,0.06813195800093313,0.17528141208967957
Pakistan,0.03564473939769088,0.05351875564010528,0.11873557810784775,0.10417657113324733,0.13805297586890938,02BCGD,0.07096360668813931,0.09806401778173332,0.11873557810784774,0.14268819849750244,0.25697969930374
Pakistan,0.10411695217184465,0.12691067477348986,0.18370410197817955,0.19516666202018304,0.2997626357645922,02BCGE,0.34922106712279943,0.4787961304855056,0.5139874351514918,0.47512369019873874,0.5051041174179455
Pakistan,0.10769764373302411,0.09950669233667844,0.06496852387033178,0.05229198955611904,0.14523298849003702,02BCGF,0.10008386950408463,0.06678514397948174,0.10126128548065506,0.08597454197290938,0.16312411098255591
Pakistan,0.11338013164041887,0.1481800875086637,0.12097587203441093,0.1024949057358467,0.0831052804222208,02BDFA,0.127446624610309,0.1623939918801393,0.15738064834106236,0.17165302038197358,0.1397438375474771
Pakistan,0.05511600905699207,0.039342757347250276,0.049286466384389625,0.04118179950008184,0.022162081352026998,02BDFB,0.1142502457693187,0.06248823518290933,0.05600734816407914,0.05134205675861904,0.033668422165268976
Pakistan,0.07938334530237649,0.05905081941219257,0.049286466384389625,0.07477135470741846,0.052074952362712444,02BDFC,0.08507954152279562,0.07108587312219394,0.054513818879703684,0.06270024414882756,0.048137299281587484
Pakistan,0.6279725677124023,0.8146022411808982,0.6743284718955127,0.6512503539109695,0.5720425151709938,02BDFD,0.3240014212612272,0.3787486530554579,0.4812898118899866,0.5167422772646814,0.4948567192285629
Pakistan,0.22218188570211736,0.0795995782307779,0.12993704774066356,0.17023833525827756,0.27519736820535523,02BDFE,0.26761524072879117,0.32439340147481865,0.34463188236963355,0.3478506308216281,0.3926809363967695
