label,name,year,England,Scotland,Wales,Irish.Republic,Rest.of.UK,India,Pakistan,Europe,Rest.of.world,UK,non.UK
05CFFN,Kiveton Park,1971,95.99157422230475,2.133005289843208,0.8504496776411458,0.18294798321417158,0.08020004819955144,0.0341469126813794,0,0.35824560622809887,0.36943025988770545,99.05522923798867,0.9447707620113552
05CFFP,Maltby,1971,93.20207378697235,4.1444602639825066,0.47527855014421283,1.131810449426466,0.19639101307852083,0.07280846801692302,0,0.41335121908785316,0.36382624929117374,98.0182036141776,1.981796385822416
05CFFQ,Park,1971,93.70645310465893,0.912723807340639,0.4163450669272586,0.7614285613955506,0.23135053786427118,0.1779923699923878,2.1109079953604297,0.761354759653889,0.9214437968066397,95.26687251679111,4.7331274832088965
05CFFR,Rawmarsh East,1971,96.25651725170869,1.228114887679473,1.3198047789169416,0.5593182183555563,0.12715458035537527,0.0011617364534272498,0,0.3826641950646436,0.12526435146590031,98.93159149866048,1.0684085013395275
05CFFS,Rawmarsh West,1971,97.48238418831262,0.8451894551931846,0.332712279522393,0.420710806929958,0.15437902666167325,0.0704149598294128,0.0015482345660281199,0.44846455746863123,0.2441964915160955,98.81466494968987,1.1853350503101256
05CFFT,St.John's,1971,94.83897619372624,2.064915270002555,0.7550273306078932,0.6686491078580857,0.20870433426073912,0.08334839853530925,0,0.7927992702364897,0.5875800947726998,97.86762312859743,2.1323768714025846
05CFFU,Swinton,1971,96.83150005696335,1.1937932274341831,0.7115167009428036,0.3165285926669989,0.08763661260580866,0.04902579690419849,0,0.40042574801486314,0.4095732644678069,98.82444659794615,1.1755534020538674
05CFFW,Thorpe Hesley,1971,97.79142540862512,0.5956485590881747,0.426873804668261,0.2281270652195615,0.21947312015594628,0.011626667745796088,0,0.487687341023972,0.23913803347318124,99.03342089253749,0.9665791074625107
05CFFX,Thurcroft/Whiston,1971,96.99821287672992,1.3481972082407923,0.5233707203769732,0.2685524471633629,0.15675771071215217,0.03962477728865078,8.275484278016513e-4,0.38770577403231193,0.27675093702802234,99.02653851605984,0.9734614839401496
05CFFY,Wath,1971,96.97570102003905,0.8926113122900851,0.7608895039850526,0.5642530436760813,0.13451854961425874,0.011347790948142965,0.004722729915761887,0.33942972666600396,0.3165263228655664,98.76372038592845,1.2362796140715564
05CGFA,Beauchief,1971,96.3914433036477,0.8801789798974567,0.5158440600101674,0.40630361834041423,0.2683167010422127,0.12423703583781119,0.009290075352960071,0.6771211761285194,0.7272650497427502,98.05578304459753,1.944216955402455
05CGFB,Birley,1971,97.97579384009713,0.5518666123532764,0.25365850276452145,0.32900994642860387,0.18290507281301277,0.06487624233447054,0.013727014745321505,0.3354697817561477,0.2926929867075078,98.96422402802794,1.0357759719720514
05CGFC,Brightside,1971,96.61979434213201,0.5555786853420976,0.21014521874439382,0.5338309247122613,0.1409867669103315,0.09506953815885162,0.5494418153668642,0.43557388882733505,0.8595788198058526,97.52650501312883,2.473494986871165
05CGFD,Broomhill,1971,88.13201472060452,2.0530368638084044,1.3064215524569303,1.1788944370509888,0.5139231688785184,0.5851993777940229,0.14117725300234893,2.2312482243493807,3.8580844020548932,92.00539630574836,7.9946036942516345
05CGFE,Burngreave,1971,89.13343347899844,0.7679749456495139,0.32048887012243504,0.8669353787614331,0.34562445660085345,0.5253919872674111,2.317764560697825,0.5445431823179615,5.177843139584114,90.56752175137125,9.432478248628744
05CGFF,Castle,1971,94.87144405357382,0.6654939262795683,0.19138755364417512,0.5148951309966866,0.1842510402203888,0.11141382482646942,1.167510401504783,0.3004191526951435,1.9931849162589648,95.91257657371796,4.087423426282047
