cob,xij1991,xij2001,xij2011,label,w1991q,w2001q,w2011q
France,0.10959165197503218,0.18650811627599123,0.31317480709281165,01AFFR,0.12229793046489096,0.1480521775083378,0.2410012211860806
France,0.1429456330109115,0.14510194732786932,0.24576321101560925,01AFFS,0.08290846714632868,0.11420077991312985,0.2414776320421156
France,0.09529708867394102,0.1431696978389019,0.1345022235307121,01AFFT,0.16200505074569974,0.15126831014733516,0.16012674455707399
France,0.08100252537284987,0.12558034237704213,0.27698535083772224,01AFFU,0.14532806022776004,0.14138997054266814,0.25235363679500683
France,0.16200505074569974,0.14293144780137046,0.15492065949279485,01AFFW,0.176895220851003,0.14030126829458878,0.16484322926599707
France,1.0911516653166247,0.8855001365362523,0.772006499221239,01AGFA,1.0804307428408062,0.8773113101200394,0.6744664307559001
France,0.17629961404679087,0.18100512712988093,0.1758125402971174,01AGFB,0.21838916154444812,0.1856471207185065,0.18931805200164578
France,0.9100871968361367,0.7435227419253096,0.7301609575345863,01AGFC,0.9426470354663998,0.7899895882591658,0.5910192085945377
France,0.7147281650545576,0.7659485881071363,0.601920174975017,01AGFD,0.9550129672109945,0.7217988030601379,0.6127216191171068
France,0.471720588936008,0.3906365653915257,0.26359072085862434,01AGFE,0.39905655882212804,0.41216153434879255,0.30062749942810757
France,0.2668318482870348,0.3295312280209799,0.26776915371706816,01AGFF,0.6489731738695383,0.560381057512708,0.45191350851457723
France,0.31924524705770235,0.2182171424720812,0.2574489000534741,01AGFG,0.31368625021838914,0.2623407013482913,0.2619028596370946
France,1.5390479820841474,1.3670219464913707,0.8947207916361373,01AGFH,1.2007433172916568,0.939590489274305,0.8158347688767693
France,1.6200505074569973,1.2928370755910885,0.9355913838213119,01AGFJ,0.8290846714632867,0.6994366628886902,0.6162855921317374
France,0.1953590317815791,0.18621906270224808,0.1479548347189771,01AGFK,0.24221343371293338,0.18916409916315477,0.21067026107145875
France,0.8004955448611045,0.6480346711440342,0.49841787272613275,01AGFL,0.5346166674608092,0.44530186208867456,0.37425865393724395
France,1.1864487539905657,0.7544281753569887,0.5929224510856937,01AGFM,0.5500003403467453,0.4642098061800795,0.43811348148810875
France,0.28112641158812596,0.20600906738628558,0.1742587787169126,01AGFN,0.17312304442432616,0.17306990752910403,0.17068960467098523
France,0.285891266021823,0.1864566067549969,0.20279739797611618,01AGFP,0.5106335668112005,0.4364393638063913,0.3809931194416382
France,0.5479582598751609,0.5098951669197332,0.44744367773995536,01AGFQ,0.6319388192690714,0.5640080528830408,0.4904565382773693
France,0.5336636965740696,0.5067753076885686,0.4368661341909051,01AGFR,0.5749591016661108,0.4724935042266295,0.47994676458940383
France,1.9678848811168819,1.5334827010057035,1.1298256182044621,01AGFS,0.9577357411731073,0.8227930458066486,0.6613493121820899
France,1.0673273931481393,0.6723051136677433,0.8799804767390611,01AGFT,0.890074808214609,0.7928270093674076,0.6153179076326655
France,0.5146042788392815,0.5098161421829367,0.3199543137135873,01AGFU,0.44884928765426224,0.3814809124845426,0.3040737734669783
France,0.11912136084242626,0.13599726787498675,0.08947295241194805,01AGFW,0.16581693429265737,0.14097419755299986,0.1427845908296057
France,0.2668318482870348,0.29940360027152046,0.16734285254181946,01AGFX,0.4145423357316434,0.39931509091517237,0.3511487664926497
France,0.2906561204555201,0.2359254056834404,0.255043440601347,01AHFA,0.23551994772273988,0.23187922168854203,0.25855823072285816
France,0.11435650640872921,0.306785783244958,0.26559375268117325,01AHFB,0.0857673798065469,0.2317992242028225,0.24087136824593178
France,0.3954829179968552,0.3714680848739916,0.40892843946844515,01AHFC,0.2307550932890429,0.2884273498075552,0.34025853995388344
France,0.34783437365988473,0.32246733115817133,0.41853968737542885,01AHFD,0.30336239894537886,0.28874653292507585,0.3998775398454676
France,0.21441844951636727,0.30549698539782677,0.3200662480193045,01AHFE,0.30699276422819566,0.2765395208572467,0.3287245486817159
France,0.16676990517939677,0.15105133136506538,0.1717410334947629,01AHFF,0.12388621527612333,0.15434425530863072,0.14550149833391113
France,0.1429456330109115,0.13228053137096046,0.22123095716349186,01AHFG,0.2327971737606273,0.1933994395821497,0.1963142720211905
France,0.10959165197503218,0.24394545044006855,0.25736260656859034,01AHFH,0.16676990517939677,0.1600372792689584,0.15434161804215937
France,0.31448039262400534,0.24690643175693314,0.3212271085734863,01AHFJ,0.2706437318339925,0.2771127116340725,0.31415511395179296
France,0.29542097488921715,0.3577838307464298,0.291184337388937,01AHFK,0.2287130128174584,0.22422546403815347,0.24500057756238497
France,0.12388621527612333,0.13930261453824946,0.1478326758853086,01AHFL,0.16041676593446735,0.2884982234289061,0.26977528857866506
France,0.285891266021823,0.19255613635003277,0.21069371329234962,01AHFM,0.18991348385735385,0.24686892303517885,0.20044213833612182
France,0.16200505074569974,0.2000109348098729,0.23099300952191246,01AHFN,0.21759501913883197,0.21097439014629127,0.2325262486552403
France,0.24300757611854956,0.3124648787918525,0.2759332406104679,01AHFP,0.2894649068470958,0.2624561563314687,0.29216195992904664
France,0.20012388621527613,0.26704702871617947,0.2118135360011076,01AHFQ,0.2327971737606273,0.22717407009679988,0.23587634921666847
France,0.10959165197503218,0.17793509500591953,0.13799072159623205,01AHFR,0.1560489827035784,0.14562263740829237,0.14267257526057392
France,0.28112641158812596,0.23975151204252335,0.24736664187945703,01AHFS,0.16835818999062913,0.20257975645213433,0.193583038107243
France,0.11912136084242626,0.2009039685808934,0.12546418921111194,01AHFT,0.2639729356268166,0.28314396284718757,0.2999443413749506
France,0.1429456330109115,0.13398389339073274,0.11264464166326595,01AHFU,0.17570400724257873,0.18341667432709585,0.19551095281011632
France,0.24300757611854956,0.2515439606295525,0.31504380948013727,01AHFW,0.23960410866590884,0.2602988318271433,0.26276668122388724
France,0.29542097488921715,0.24123941472779897,0.28705790574398227,01AHFX,0.21060656596940966,0.2250515635783306,0.2684754929572386
France,0.26206699385333776,0.26622601717083877,0.29523144952918484,01AHFY,0.22288930184293979,0.2391781465488094,0.2515535837684908
France,0.0095297088673941,0.04700832470067494,0.0663928116783832,01AJFA,0.08153195364326063,0.0994281807440743,0.08101937800683999
France,0.1334159241435174,0.0992793260120872,0.1358800833593334,01AJFB,0.09847365829640571,0.12215877922839363,0.12897675613712392
France,0.0762376709391528,0.06133052188731457,0.09673520937991589,01AJFC,0.06353139244929401,0.1388050998814247,0.12540792230826736
France,0.023824272168485254,0.06578843290331748,0.07667704875987302,01AJFD,0.06432553485491019,0.08917067679598491,0.09053915498559918
France,0.0381188354695764,0.047986374995384794,0.06793193502404465,01AJFE,0.04193071901653405,0.05423165600378479,0.0734631498276484
France,0.09053223424024395,0.15424669690839324,0.13549873844532603,01AJFF,0.07691836442968096,0.1527304911911432,0.15112995420988873
France,0.04764854433697051,0.05941132417905748,0.05613156484555918,01AJFG,0.08100252537284985,0.07525198287838814,0.06714178388710544
France,0.0762376709391528,0.21970832695727016,0.22779926348524288,01AJFH,0.07814361271263164,0.18811490355472205,0.20391814713498096
France,0.14771048744460857,0.14021303591031045,0.21065247051637054,01AJFJ,0.08219373898127413,0.24709340977182948,0.29939361919823554
France,0.028589126602182303,0.11896448987612049,0.1136279183381694,01AJFK,0.08417909499531456,0.13658472385077705,0.12707081008367377
France,0.10959165197503218,0.20046202393911466,0.2918992353218147,01AJFL,0.07433172916567399,0.18396722156160802,0.20708388459692506
France,0.014294563301091152,0.02346923045719965,0.07426516618254242,01AJFM,0.08508668631601876,0.07398515492517406,0.06762172818266499
France,0.08100252537284987,0.17685293181858996,0.22269804083030822,01AJFN,0.08576737980654692,0.10386524650871166,0.11616094008351598
France,0.10959165197503218,0.1873048378622127,0.13685080760504198,01AJFP,0.07782595575038515,0.12786207084620863,0.1237189055709942
France,0.06194310763806166,0.18429877737101394,0.1875482761368008,01AJFQ,0.09053223424024395,0.1413308635766272,0.16908025668636906
France,0.10482679754133511,0.08631544053245661,0.10172327326453802,01AJFR,0.07504645733072855,0.09109148433750006,0.11627979824204543
France,0.04764854433697051,0.2294563536430674,0.22245660889270813,01AJFS,0.08398055939391053,0.17530919649544924,0.22172016617594956
